Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2017-02-06,2292.5601,1.6183538754764932,20052.4199,1.6074703238068608
2017-02-07,2293.0801,1.6187209515741918,20090.2891,1.61050604794838
2017-02-08,2294.6699,1.6198432161513483,20054.3398,1.6076242295344523
2017-02-09,2307.8701,1.6291614428914303,20172.4004,1.6170883696161602
2017-02-10,2316.1001,1.634971128053085,20269.3691,1.6248617111063877
2017-02-13,2328.25,1.6435479316673727,20412.1602,1.6363083323570096
2017-02-14,2337.5801,1.650134194550332,20504.4102,1.6437034067725012
2017-02-15,2349.25,1.6583721586898208,20611.8594,1.652316900863396
2017-02-16,2347.22,1.6569391500776507,20619.7695,1.652951001439374
2017-02-17,2351.1599,1.6597203868417338,20624.0508,1.6532942050393205
2017-02-21,2365.3799,1.6697585062826485,20743.0,1.6628295783256422
2017-02-22,2362.8201,1.6679515036001695,20775.5996,1.665442873370794
2017-02-23,2363.8101,1.6686503600169422,20810.3203,1.6682262030212867
2017-02-24,2367.3401,1.6711422419878583,20821.7598,1.6691432323305118
2017-02-27,2369.75,1.6728434279260203,20837.4395,1.670400170523602
2017-02-28,2363.6399,1.6685302131865032,20812.2402,1.668380108748878
2017-03-01,2395.96,1.6913454750811805,21115.5508,1.6926945202177928
2017-03-02,2381.9199,1.6814343498517577,21002.9707,1.683669715695262
2017-03-03,2383.1201,1.6822815897218695,21005.7109,1.6838893794666798
2017-03-06,2375.3101,1.6767683891006637,20954.3398,1.6797712970026621
2017-03-07,2368.3899,1.6718833121558663,20924.7598,1.6774000633852069
2017-03-08,2362.98,1.668064379500212,20855.7305,1.671866439424781
2017-03-09,2364.8701,1.6693986305237896,20858.1895,1.672063561245786
2017-03-10,2372.6001,1.6748553578991954,20902.9805,1.6756541604668622
2017-03-13,2373.47,1.6754694338557108,20881.4805,1.673930647188455
2017-03-14,2365.45,1.6698079909642807,20837.3691,1.6703945270196578
2017-03-15,2385.26,1.683792178455457,20950.0996,1.679431388118797
2017-03-16,2381.3799,1.6810531554426091,20934.5508,1.6781849433158529
2017-03-17,2378.25,1.678843710292249,20914.6191,1.6765871503106793
2017-03-20,2373.47,1.6754694338557108,20905.8594,1.6758849429030112
2017-03-21,2344.02,1.6546802202456588,20668.0098,1.6568181083046924
